dataName,classToSearch,fieldToSearch,dataClass,fileName,dataType,URL,,
Energy,windTurbineDB,,windTurbines,wind_turbine_database_en.gdb.zip,gdb,https://ftp.cartes.canada.ca/pub/nrcan_rncan/Wind-energy_Energie-eolienne/wind_turbines_database/wind_turbine_database_en.gdb.zip,,
Energy,E1,,potentialWindTurbines,windLayers_NWT.zip,mif,https://zenodo.org/records/20275948/files/windLayers_NWT.zip?download=1,,
Energy,Powerline,Class,powerLines,NorthwestTerritories_15m_Disturb_Perturb_Line.shp,shapefile,https://zenodo.org/records/20276072/files/NorthwestTerritories_15m_Disturb_Perturb_Line.zip?download=1,,
Energy,Powerline,Class,powerLines,linearDisturbances_NT1_BCR6_clipped.shp,shapefile,https://zenodo.org/records/20276162/files/linearDisturbances_NT1_BCR6_clipped.zip?download=1,,
oilGas,ITI,,potentialOilGas,ECO_ITI_PR_OilandGasRights_GCS_NAD27.shp,shapefile,https://www.iti.gov.nt.ca/sites/iti/files/ECO_ITI_PR_OilandGasRights_GCS_NAD27_Jan26_2023_0.zip,,
oilGas,hydroPotential,,potentialOilGas,C2H4_BCR6_NT1.tif,raster,https://zenodo.org/records/20276273/files/C2H4_BCR6_NT1.zip?download=1,,
oilGas,Seismic,Class,seismicLines,linearDisturbances_NT1_BCR6_clipped.shp,shapefile,https://zenodo.org/records/20276162/files/linearDisturbances_NT1_BCR6_clipped.zip?download=1,,
oilGas,Seismic,Class,seismicLines,NorthwestTerritories_15m_Disturb_Perturb_Line.shp,shapefile,https://zenodo.org/records/20276072/files/NorthwestTerritories_15m_Disturb_Perturb_Line.zip?download=1,,
oilGas,Pipeline,Class,pipeline,linearDisturbances_NT1_BCR6_clipped.shp,shapefile,https://zenodo.org/records/20276162/files/linearDisturbances_NT1_BCR6_clipped.zip?download=1,,
oilGas,Pipeline,Class,pipeline,NorthwestTerritories_15m_Disturb_Perturb_Line.shp,shapefile,https://zenodo.org/records/20276072/files/NorthwestTerritories_15m_Disturb_Perturb_Line.zip?download=1,,
oilGas,Well site,Class,oilGas,polygonalDisturbances_NT1_BCR6_clipped.shp,shapefile,https://zenodo.org/records/20276369/files/polygonalDisturbances_NT1_BCR6_clipped.zip?download=1,,
oilGas,Well site,Class,oilGas,NorthwestTerritories_15m_Disturb_Perturb_Poly.shp,shapefile,https://zenodo.org/records/20276320/files/NorthwestTerritories_15m_Disturb_Perturb_Poly.zip?download=1,,
oilGas,Oil/Gas,Class,oilGas,polygonalDisturbances_NT1_BCR6_clipped.shp,shapefile,https://zenodo.org/records/20276369/files/polygonalDisturbances_NT1_BCR6_clipped.zip?download=1,,
